"Add Mapping","Dodaj mapowanie"
"An error occurred while running mappings.","Wystąpił błąd w trakcie mapowania."
"An error occurred while deleting this mapping.","Wystąpił błąd podczas usuwania tego mapowania."
"An error occurred while running this mapping.","Wystąpił błąd w trakcie tego mapowania."
"An error occurred while saving this mapping.","Wystąpił błąd podczas zapisywania tego mapowania."
"Are you sure that you want to delete this mapping?","Czy jesteś pewien, że chcesz usunąć to mapowanie?"
"Categories","Kategorie"
"Categories import is finished. Created: %s. Updated: %s. Deleted: %s.","Import kategorii zakończony. Utworzono: %s. Zmieniono: %s. Usunięto: %s."
"Ceneo Category","Kategoria Ceneo"
"Ceneo Name Sufix","Sufiks nazwy produktu w Ceneo"
"Ceneo will not accept some SKUs, eg. with spaces","Ceneo nie akceptuje niektórych SKU, np. ze spacjami"
"Ceneo.pl feed URLs","URL-e feedów Ceneo.pl"
"Ceneo.pl Offer","Oferta Ceneo.pl"
"Ceneo.pl Pro resources","Zasoby modułu Ceneo.pl Pro"
"Configuration","Konfiguracja"
"CPA active","System transakcyjny CPA aktywny"
"Delete Mapping","Usuń mapowanie"
"Deleted","Usunięto"
"Description attribute","Atrybut z opisem produktu"
"Edit Mapping","Edycja mapowania"
"Enabling this option may lessen the efficiency of the module","Włączenie tej opcji może zmiejszyć wydajność modułu"
"equals","ma wartość"
"Export out of stock products","Eksportuj niedostępne produkty"
"Export products without categories","Eksportuj produkty bez zdefiniowanej kategorii Ceneo"
"Feed URLs","URL-e feedów"
"Get feed URLs","Pobierz URL-e feedów"
"GUID","Numer GUID sklepu"
"If ""Yes"" XML feed will be regenerated on each URL access. If ""No"" it will be get from cache.", "Jeśli wybrano ""Tak"" feed XML będzie budowany od nowa przy każdym wejściu w URL. Jeśli wybrano ""Nie"", będzie pobierany z cache'u"
"Image type","Typ zdjęcia"
"Image size","Rozmiar zdjęcia"
"Live feed generation","Generowanie feeda ""live"""
"Mapping Information","Informacje o mapowaniu"
"Mapping of the attributes for ""Books"" group","Mapowanie atrybutów dla branży ""Książki"""
"Mapping of the attributes for ""Clothes"" group","Mapowanie atrybutów dla branży ""Odzież, obuwie, dodatki"""
"Mapping of the attributes for ""Games"" group","Mapowanie atrybutów dla branży ""Gry PC / Gry na konsole"""
"Mapping of the attributes for ""Grocery"" group","Mapowanie atrybutów dla branży ""Delikatesy"""
"Mapping of the attributes for ""Medicines"" group","Mapowanie atrybutów dla branży ""Leki i suplementy"""
"Mapping of the attributes for ""Movies"" group","Mapowanie atrybutów dla branży ""Filmy"""
"Mapping of the attributes for ""Music"" group","Mapowanie atrybutów dla branży ""Płyty muzyczne"""
"Mapping of the attributes for ""Other"" group","Mapowanie atrybutów dla niesprecyzowanej branży"
"Mapping of the attributes for ""Perfumes"" group","Mapowanie atrybutów dla branży ""Perfumy"""
"Mapping of the attributes for ""Rims"" group","Mapowanie atrybutów dla branży ""Felgi i kołpaki"""
"Mapping of the attributes for ""Tires"" group","Mapowanie atrybutów dla branży ""Opony"""
"Mapping of the core attributes","Mapowanie podstawowych atrybutów"
"Mapping Rules","Reguły mapowania"
"Mass Categories Mapping","Masowe mapowanie kategorii"
"New Mapping","Nowe mapowanie"
"not set","nie ustawiono"
"Offer","Oferta"
"Price is set to 0!","Cena jest ustawiona na 0!"
"Priority","Priorytet"
"Product is a set when","Produkt jest zestawem, gdy"
"Product is available for Buy in Ceneo when","Produkt jest dostępny w Kup na Ceneo, gdy"
"Product is available when","Produkt jest dostępny, gdy"
"Product will be available in 3 days when","Produkt będzie dostępny do 3 dni, gdy"
"Product will be available in a week when","Produkt będzie dostępny do tygodnia, gdy"
"Product will be available in more than week when","Produkt będzie dostępny później niż za tydzień, gdy"
"Refresh Categories","Odśwież kategorie"
"Refresh Feeds Cache","Odśwież cache feedów XML"
"Run","Uruchom"
"Run All","Uruchom wszystkie"
"Save Mapping","Zapisz mapowanie"
"Show availability in XML feed","Pokaż dostępność w feedzie XML"
"Show if product is available for Buy in Ceneo in XML feed","Pokaż w feedzie XML, czy produkt jest dostepny w Kup na Ceneo"
"Show if product is set in XML feed","Pokaż w feedzie XML, czy produkt jest zestawem"
"Show stock in XML feed","Pokaż stany magazynowe w feedzie XML"
"Show weight in XML feed","Pokaż masę produktu w feedzie XML"
"Specify image size in pixels (min 200, max 2000)","Wprowadź rozmiar zdjęć w pikselach (min. 200, maks. 2000)"
"The mapping has been deleted.","Mapowanie zostało usunięte."
"The mapping has been finished successfully.","Mapowanie zakończyło się sukcesem."
"The mapping has been saved.","Mapowanie zostało zapisane."
"This value is used for the feeds URLs generation","Ta wartość jest używana do tworzenia URL-i feedów"
"Transactional system CPA","System transakcyjny CPA"
"Unable to import categories.","Import kategorii nie powiódł się."
"Unable to regenerate XML feeds.","Odświeżanie feedów XML nie powiodło się."
"Unique Hash","Unikalny hash"
"Use IDs instead of SKUs in feed","Używaj ID zamiast SKU w feedach"
"Warning","Ostrzeżenie"
"Watermark on product images","Znak wodny na zdjęciach produktów"
"XML feeds have been regenerated.","Feedy XML zostały odświeżone."
"Export configurable products","Eksportuj produkty konfigurowalne"
"If 'Yes' then Configurable Products will be in the XML feed. If 'No', then Configurable Products will not appear but Associated Product instead will be in the XML feed.","Jeśli 'Tak', to produkty konfigurowalne znajdą się w kanale XML. Jeśli 'Nie', w kanale XML pojawią się Produkty proste."